name,likes,downloads,last_modified,decision_score
boydster/DialoGPT-small-gollum,0,20,2021-10-02 19:48:16+00:00,-0.0593395337605529
brimeggi/inexis-bot,0,21,2021-10-21 04:40:05+00:00,-0.0071353937941979
bs-modeling-metadata/html-metadata-exp1-subexp2-1929863,0,20,2021-11-13 09:21:02+00:00,-0.0364829831817442
bs-modeling-metadata/website_metadata_exp_1_model_25k_checkpoint,0,22,2021-11-25 15:47:57+00:00,-0.0807505428088593
bspans/DialoGPT-small-yoda,0,20,2021-09-02 09:35:47+00:00,-0.0108147392911164
bypequeno/DialoGPT-small-michaelscott,0,20,2022-01-25 23:01:50+00:00,-0.0539228036625275
cambridgeltl/simctg_english_wikipedia,0,22,2022-06-25 19:45:09+00:00,-0.0469141784835085
candra/gpt2-newgen-test,0,21,2021-12-17 07:53:58+00:00,-0.017209172409756
candra/headline-small-gpt2,0,20,2021-12-16 05:46:13+00:00,-0.0165781184445316
cd-dvd/testmodel2,0,3,2022-01-27 19:45:14+00:00,-0.0034323498645727
ceostroff/harry-potter-gpt2-fanfiction,0,22,2021-05-21 14:51:47+00:00,-0.0205034299003485
chaitrabhat/DialoGPT-small-rick,0,19,2021-11-05 11:30:22+00:00,-0.1203670887850899
chamodkarunasena/DialoGPT-medium-sokka,0,19,2021-09-02 10:56:02+00:00,-0.1010277523905648
chan030609/DialoGPT-medium-JAB,0,19,2022-02-11 20:14:29+00:00,-0.0088124756474348
chan030609/DialoGPT-small-JAB,0,19,2022-02-10 03:27:21+00:00,-0.0412064123583304
chip/DialoGPT-small-chizuru,0,19,2021-09-12 07:00:54+00:00,-0.0707767161468868
christopherastone/distilgpt2-proofs,0,40,2023-09-21 21:41:35+00:00,-0.0196694678024174
clairesb/kindness_bot,0,19,2021-10-26 00:09:56+00:00,-0.0133006982084766
clairesb/kindness_bot_repo,0,18,2021-10-25 04:33:25+00:00,-0.005261559612362
clancystudios/DialoGPT-medium-Morty,0,19,2022-02-07 12:38:25+00:00,-0.1138173811523185
clayfox/DialoGPT-small-Hiccup,0,19,2021-11-28 16:23:15+00:00,-0.0345959110284944
cocoaclef/DialoGPT-small-kohaku,0,19,2021-11-12 18:39:32+00:00,-0.0375450183288559
cosmicray001/small-harry,0,19,2021-08-28 12:18:55+00:00,-0.0033077306424282
cumtowndiscord/DialoGPT-small-joshua,0,19,2022-02-04 16:25:12+00:00,-0.0708399888506626
d8oss/gamio-small,0,20,2021-09-14 12:35:20+00:00,-0.0735035485592093
danildany/DialoGPT-small-MichaelScott,0,20,2021-08-30 16:13:33+00:00,-0.0967197157756252
